phase,phase_label,rank_in_phase,recipient,verification,gas_used,gas_share,transaction_count,sampled_blocks_seen,label_source_url
low_baseline,"低い基準
ガス価格",1.0,未確認の宛先（アドレス非公開）,未確認,2585022353,0.0398301183416207,8363,3900.0,
low_baseline,"低い基準
ガス価格",2.0,未確認の宛先（アドレス非公開）,未確認,2187610349,0.0337067797440528,8032,3900.0,
low_baseline,"低い基準
ガス価格",3.0,Polymarket Neg Risk Fee Module,確認済み,2057185473,0.0316971885156666,4656,3900.0,https://polygonscan.com/address/0x78769d50be1763ed1ca0d5e878d93f05aabff29e
low_baseline,"低い基準
ガス価格",4.0,未確認の宛先（アドレス非公開）,未確認,1996413907,0.0307608180186082,11400,3900.0,
low_baseline,"低い基準
ガス価格",5.0,未確認の宛先（アドレス非公開）,未確認,1855887157,0.0285955767485791,5620,3900.0,
low_baseline,"低い基準
ガス価格",6.0,Polymarket Fee Module,確認済み,1615912883,0.0248980444153395,4728,3900.0,https://polygonscan.com/address/0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0
low_baseline,"低い基準
ガス価格",7.0,未確認の宛先（アドレス非公開）,未確認,1482893451,0.0228484761738322,1461,3900.0,
low_baseline,"低い基準
ガス価格",8.0,未確認の宛先（アドレス非公開）,未確認,1458197097,0.02246795385406,4320,3900.0,
low_baseline,"低い基準
ガス価格",,未確認の宛先（アドレス非公開）,未確認,49662074229,0.7651950441882405,291359,,
spike_day,急騰日,1.0,Polymarket Fee Module,確認済み,4659853241,0.2551370836128542,11357,760.0,https://polygonscan.com/address/0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0
spike_day,急騰日,2.0,Polymarket Neg Risk Fee Module 2,確認済み,1240325200,0.0679104980120832,2688,760.0,https://polygonscan.com/address/0xb768891e3130f6df18214ac804d4db76c2c37730
spike_day,急騰日,3.0,未確認の宛先（アドレス非公開）,未確認,798397841,0.0437140154808449,2443,760.0,
spike_day,急騰日,4.0,未確認の宛先（アドレス非公開）,未確認,771691649,0.0422517934775135,1016,760.0,
spike_day,急騰日,5.0,未確認の宛先（アドレス非公開）,未確認,615987560,0.0337266565001243,3516,760.0,
spike_day,急騰日,6.0,未確認の宛先（アドレス非公開）,未確認,276035002,0.0151135157574694,1693,760.0,
spike_day,急騰日,7.0,未確認の宛先（アドレス非公開）,未確認,275582792,0.0150887562780151,1844,760.0,
spike_day,急騰日,8.0,未確認の宛先（アドレス非公開）,未確認,241818537,0.0132400899991577,1269,760.0,
spike_day,急騰日,,未確認の宛先（アドレス非公開）,未確認,9384423982,0.5138175908819375,62017,,
post_expansion_high_baseline,"供給枠拡大後の
高い基準ガス価格",1.0,Polymarket CTF Exchange V2,確認済み,26399948571,0.3738981044507665,47117,1860.0,https://github.com/Polymarket/ctf-exchange-v2
post_expansion_high_baseline,"供給枠拡大後の
高い基準ガス価格",2.0,Polymarket Neg Risk CTF Exchange V2,確認済み,7008898624,0.0992658717782464,12210,1860.0,https://github.com/Polymarket/ctf-exchange-v2
post_expansion_high_baseline,"供給枠拡大後の
高い基準ガス価格",3.0,未確認の宛先（アドレス非公開）,未確認,3749045960,0.0530971177528209,1561,1860.0,
post_expansion_high_baseline,"供給枠拡大後の
高い基準ガス価格",4.0,未確認の宛先（アドレス非公開）,未確認,3394446226,0.0480749803791524,8250,1860.0,
post_expansion_high_baseline,"供給枠拡大後の
高い基準ガス価格",5.0,未確認の宛先（アドレス非公開）,未確認,2551029886,0.0361298142762452,5294,1860.0,
post_expansion_high_baseline,"供給枠拡大後の
高い基準ガス価格",6.0,未確認の宛先（アドレス非公開）,未確認,1771828905,0.0250941196801537,9691,1860.0,
post_expansion_high_baseline,"供給枠拡大後の
高い基準ガス価格",7.0,未確認の宛先（アドレス非公開）,未確認,1671468826,0.0236727364831482,6968,1860.0,
post_expansion_high_baseline,"供給枠拡大後の
高い基準ガス価格",8.0,未確認の宛先（アドレス非公開）,未確認,1593189513,0.0225640795223327,2680,1860.0,
post_expansion_high_baseline,"供給枠拡大後の
高い基準ガス価格",,未確認の宛先（アドレス非公開）,未確認,22467478099,0.3182031756771338,107505,,
