date,avg_gas_price_wei,gas_used_daily,gas_limit_per_block,block_time_sec,block_count,block_size_bytes,transaction_count,pol_usd,avg_gas_gwei,gas_used_per_block,utilization,gas_used_per_sec,gas_capacity_per_sec,gas_capacity_daily,transactions_per_sec,log_avg_gas_gwei,log_gas_used_per_sec,log_gas_capacity_per_sec,gas_limit_level_millions,block_time_level_sec,supply_state,supply_epoch_id,baseline_gwei,gas_price_to_baseline_ratio,gwei_above_baseline,is_spike_day,baseline_band,fee_state
2025-01-01 00:00:00+00:00,61213010029,526189971160,29989385,2.22,38990,58715,2869021,0.47,61.213010029,13495510.929982048,0.45000959272696145,6090161.703240741,13508731.981981982,1167154443243.2432,33.20626157407408,4.1305641423266755,15.622185355789094,16.418846921821313,30,2.0,30M/2s,1,,,,False,insufficient_history,insufficient_history
2025-01-02 00:00:00+00:00,90606330549,546736499381,29981642,2.26,38311,65350,3241823,0.48,90.606330549,14271005.700216647,0.47599146505106854,6327968.742835648,13266213.274336284,1146200826902.655,37.52109953703704,4.517500380088987,15.66049000694469,16.40073108108074,30,2.0,30M/2s,1,,,,False,insufficient_history,insufficient_history
2025-01-03 00:00:00+00:00,107250573106,569421641508,29992172,2.26,38245,75744,3164636,0.52,107.250573106,14888786.547470257,0.4964224180719642,6590528.258194445,13270872.566371683,1146603389734.5134,36.62773148148148,4.6844486611503395,15.701144215574685,16.40108223431287,30,2.0,30M/2s,1,,,,False,insufficient_history,insufficient_history
2025-01-04 00:00:00+00:00,66197841917,545553441753,29981194,2.22,38943,65738,3051381,0.52,66.197841917,14009024.516678222,0.4672603938548352,6314275.946215278,13505042.342342341,1166835658378.3782,35.31690972222222,4.2076411326830705,15.658323809383209,16.41857375455893,30,2.0,30M/2s,1,,,,False,insufficient_history,insufficient_history
2025-01-05 00:00:00+00:00,62281949271,518585783999,29979614,2.24,38511,64952,2841674,0.52,62.281949271,13465913.219573628,0.4491689992931073,6002150.2777662035,13383756.249999998,1156356539999.9998,32.88974537037037,4.147600126888255,15.607628509224334,16.40955238415616,30,2.0,30M/2s,1,,,,False,insufficient_history,insufficient_history
2025-01-06 00:00:00+00:00,135174697602,560188576687,29986120,2.31,37370,70292,3209906,0.52,135.174697602,14990328.517179556,0.4999089084276177,6483664.082025463,12981004.329004329,1121558774025.974,37.151689814814816,4.91393860261003,15.684796507515589,16.378997718398452,30,2.0,30M/2s,1,,,,False,insufficient_history,insufficient_history
2025-01-07 00:00:00+00:00,154657053320,581744228638,29994093,2.2,39203,66766,3185127,0.47,154.65705332,14839278.336810958,0.4947400255380604,6733150.794421297,13633678.636363635,1177949834181.818,36.864895833333335,5.047655211119505,15.722553912115304,16.428053733222583,30,2.0,30M/2s,1,,,,False,insufficient_history,insufficient_history
2025-01-08 00:00:00+00:00,117773309088,591426994242,29979342,2.15,40247,67767,3418724,0.46,117.773309088,14694933.64081795,0.49016865149401706,6845219.840763889,13943880.0,1204751232000.0,39.56856481481481,4.777216710709809,15.739061279261511,16.45055133200903,30,2.0,30M/2s,1,90.606330549,1.2998353246885774,27.166978539,False,middle_baseline,middle_baseline
2025-01-09 00:00:00+00:00,108027288768,581164700837,29949355,2.17,39827,66539,3446136,0.45,108.027288768,14592228.910964923,0.48723015607397635,6726443.296724537,13801546.082949309,1192453581566.8203,39.88583333333333,4.691598206565118,15.721557225705608,16.440291251303957,30,2.0,30M/2s,1,98.9284518275,1.0919739142018063,9.098836940500007,False,middle_baseline,middle_baseline
2025-01-10 00:00:00+00:00,114275140832,596810576644,29963592,2.17,39789,75753,3359447,0.46,114.275140832,14999386.178189952,0.5005870517189646,6907529.822268519,13808106.912442397,1193020437235.0232,38.88248842592593,4.747321799796643,15.748122797915032,16.440766507486455,30,2.0,30M/2s,1,107.250573106,1.0654967849827464,7.024567726000001,False,middle_baseline,middle_baseline
