comparison_period,metric,days,mean,median,min,max,mean_change_2026_minus_2025
2025年の平常期,gas_used_per_sec,338,8331644.426606743,7123703.291938657,5228673.682557871,15365709.031412035,18201699.972697318
2025年の平常期,estimated_polymarket_direct_gas_used_per_sec,338,1004986.934994725,478837.1733525946,49861.39865507433,5780139.773100257,13185029.08595655
2025年の平常期,estimated_non_polymarket_gas_used_per_sec,338,7326657.491612017,6841598.713183276,4824030.649558591,11169623.560232963,5016670.886740768
2025年の平常期,polymarket_direct_gas_share,338,0.0996669943708693,0.06771963025150793,0.007892762886368553,0.3826385884346768,0.4283773419862848
2025年の平常期,utilization,338,0.44884242712965833,0.4621324429156406,0.2817791726168968,0.513395906224074,-0.058450966155717266
2025年の平常期,gas_capacity_per_sec,338,18594532.49772714,20595073.52017092,12927567.672413794,30000000.0,60351756.34115109
2026年の平常期,gas_used_per_sec,240,26533344.39930406,27234783.680358797,16347738.90792824,35617015.07521991,18201699.972697318
2026年の平常期,estimated_polymarket_direct_gas_used_per_sec,240,14190016.020951275,13765971.280360293,7424906.694839638,23590570.753939837,13185029.08595655
2026年の平常期,estimated_non_polymarket_gas_used_per_sec,240,12343328.378352785,12276419.64417338,6718600.462569309,18206690.755952388,5016670.886740768
2026年の平常期,polymarket_direct_gas_share,240,0.5280443363571541,0.5248304022996366,0.33453602083282896,0.714449972948787,0.4283773419862848
2026年の平常期,utilization,240,0.39039146097394106,0.3279154830146329,0.1932435584932725,0.651105222153957,-0.058450966155717266
2026年の平常期,gas_capacity_per_sec,240,78946288.83887823,80000000.0,25243762.5,106666666.66666669,60351756.34115109
