fx_rate_date,usd_jpy
2025-10-27 00:00:00+00:00,152.86
2025-10-28 00:00:00+00:00,152.29
2025-10-29 00:00:00+00:00,152.17
2025-10-30 00:00:00+00:00,154.43
2025-10-31 00:00:00+00:00,154.18
2025-11-03 00:00:00+00:00,154.22
2025-11-04 00:00:00+00:00,153.5
2025-11-05 00:00:00+00:00,153.73
2025-11-06 00:00:00+00:00,153.6
2025-11-07 00:00:00+00:00,153.09
2025-11-10 00:00:00+00:00,154.1
2025-11-11 00:00:00+00:00,154.18
2025-11-12 00:00:00+00:00,154.79
2025-11-13 00:00:00+00:00,154.55
2025-11-14 00:00:00+00:00,153.86
2025-11-17 00:00:00+00:00,154.9
2025-11-18 00:00:00+00:00,155.25
2025-11-19 00:00:00+00:00,156.13
2025-11-20 00:00:00+00:00,157.61
2025-11-21 00:00:00+00:00,156.74
2025-11-24 00:00:00+00:00,156.98
2025-11-25 00:00:00+00:00,156.19
2025-11-26 00:00:00+00:00,156.42
2025-11-27 00:00:00+00:00,156.32
2025-11-28 00:00:00+00:00,156.12
2025-12-01 00:00:00+00:00,154.8
2025-12-02 00:00:00+00:00,156.07
2025-12-03 00:00:00+00:00,155.37
2025-12-04 00:00:00+00:00,154.77
2025-12-05 00:00:00+00:00,155.23
2025-12-08 00:00:00+00:00,155.55
2025-12-09 00:00:00+00:00,156.36
2025-12-10 00:00:00+00:00,156.71
2025-12-11 00:00:00+00:00,155.58
2025-12-12 00:00:00+00:00,155.99
2025-12-15 00:00:00+00:00,155.13
2025-12-16 00:00:00+00:00,154.61
2025-12-17 00:00:00+00:00,155.59
2025-12-18 00:00:00+00:00,155.77
2025-12-19 00:00:00+00:00,157.23
2025-12-22 00:00:00+00:00,157.32
2025-12-23 00:00:00+00:00,156.02
2025-12-24 00:00:00+00:00,155.96
2025-12-29 00:00:00+00:00,156.36
2025-12-30 00:00:00+00:00,156.06
2025-12-31 00:00:00+00:00,156.67
2026-01-02 00:00:00+00:00,156.93
2026-01-05 00:00:00+00:00,156.83
2026-01-06 00:00:00+00:00,156.44
2026-01-07 00:00:00+00:00,156.55
2026-01-08 00:00:00+00:00,156.72
2026-01-09 00:00:00+00:00,157.64
2026-01-12 00:00:00+00:00,157.73
2026-01-13 00:00:00+00:00,158.85
2026-01-14 00:00:00+00:00,158.63
2026-01-15 00:00:00+00:00,158.56
2026-01-16 00:00:00+00:00,158.1
2026-01-19 00:00:00+00:00,157.93
2026-01-20 00:00:00+00:00,157.9
2026-01-21 00:00:00+00:00,157.79
2026-01-22 00:00:00+00:00,158.79
2026-01-23 00:00:00+00:00,158.16
2026-01-26 00:00:00+00:00,154.21
2026-01-27 00:00:00+00:00,153.34
2026-01-28 00:00:00+00:00,152.63
2026-01-29 00:00:00+00:00,153.31
2026-01-30 00:00:00+00:00,154.03
2026-02-02 00:00:00+00:00,155.06
2026-02-03 00:00:00+00:00,155.85
2026-02-04 00:00:00+00:00,156.64
2026-02-05 00:00:00+00:00,156.9
2026-02-06 00:00:00+00:00,157.09
2026-02-09 00:00:00+00:00,156.19
2026-02-10 00:00:00+00:00,155.13
2026-02-11 00:00:00+00:00,153.61
2026-02-12 00:00:00+00:00,153.71
2026-02-13 00:00:00+00:00,153.29
2026-02-16 00:00:00+00:00,153.34
2026-02-17 00:00:00+00:00,153.1
2026-02-18 00:00:00+00:00,153.64
2026-02-19 00:00:00+00:00,154.9
2026-02-20 00:00:00+00:00,155.21
2026-02-23 00:00:00+00:00,154.82
2026-02-24 00:00:00+00:00,155.84
2026-02-25 00:00:00+00:00,156.74
2026-02-26 00:00:00+00:00,156.06
2026-02-27 00:00:00+00:00,155.98
2026-03-02 00:00:00+00:00,157.45
2026-03-03 00:00:00+00:00,157.66
2026-03-04 00:00:00+00:00,157.11
2026-03-05 00:00:00+00:00,157.54
2026-03-06 00:00:00+00:00,157.92
2026-03-09 00:00:00+00:00,158.5
2026-03-10 00:00:00+00:00,157.78
2026-03-11 00:00:00+00:00,158.56
2026-03-12 00:00:00+00:00,158.86
2026-03-13 00:00:00+00:00,159.33
2026-03-16 00:00:00+00:00,159.14
2026-03-17 00:00:00+00:00,158.95
2026-03-18 00:00:00+00:00,159.56
2026-03-19 00:00:00+00:00,158.81
2026-03-20 00:00:00+00:00,158.77
2026-03-23 00:00:00+00:00,158.55
2026-03-24 00:00:00+00:00,158.93
2026-03-25 00:00:00+00:00,158.96
2026-03-26 00:00:00+00:00,159.62
2026-03-27 00:00:00+00:00,159.9
2026-03-30 00:00:00+00:00,159.46
2026-03-31 00:00:00+00:00,159.5
2026-04-01 00:00:00+00:00,158.32
2026-04-02 00:00:00+00:00,159.6
2026-04-07 00:00:00+00:00,159.84
2026-04-08 00:00:00+00:00,158.15
2026-04-09 00:00:00+00:00,158.92
2026-04-10 00:00:00+00:00,159.19
2026-04-13 00:00:00+00:00,159.83
2026-04-14 00:00:00+00:00,158.85
2026-04-15 00:00:00+00:00,159.09
2026-04-16 00:00:00+00:00,158.98
2026-04-17 00:00:00+00:00,159.13
2026-04-20 00:00:00+00:00,158.91
2026-04-21 00:00:00+00:00,159.04
2026-04-22 00:00:00+00:00,159.22
2026-04-23 00:00:00+00:00,159.48
2026-04-24 00:00:00+00:00,159.42
2026-04-27 00:00:00+00:00,159.21
2026-04-28 00:00:00+00:00,159.74
2026-04-29 00:00:00+00:00,159.79
2026-04-30 00:00:00+00:00,156.56
2026-05-04 00:00:00+00:00,157.12
2026-05-05 00:00:00+00:00,157.81
2026-05-06 00:00:00+00:00,156.21
2026-05-07 00:00:00+00:00,156.39
2026-05-08 00:00:00+00:00,156.76
2026-05-11 00:00:00+00:00,157.14
2026-05-12 00:00:00+00:00,157.59
2026-05-13 00:00:00+00:00,157.77
2026-05-14 00:00:00+00:00,157.95
2026-05-15 00:00:00+00:00,158.55
2026-05-18 00:00:00+00:00,158.77
2026-05-19 00:00:00+00:00,159.11
2026-05-20 00:00:00+00:00,159.03
2026-05-21 00:00:00+00:00,159.14
2026-05-22 00:00:00+00:00,159.15
2026-05-25 00:00:00+00:00,158.93
2026-05-26 00:00:00+00:00,159.21
2026-05-27 00:00:00+00:00,159.42
2026-05-28 00:00:00+00:00,159.46
2026-05-29 00:00:00+00:00,159.27
2026-06-01 00:00:00+00:00,159.49
2026-06-02 00:00:00+00:00,159.75
2026-06-03 00:00:00+00:00,159.86
2026-06-04 00:00:00+00:00,159.8
2026-06-05 00:00:00+00:00,159.86
2026-06-08 00:00:00+00:00,159.97
2026-06-09 00:00:00+00:00,160.16
2026-06-10 00:00:00+00:00,160.49
2026-06-11 00:00:00+00:00,160.54
2026-06-12 00:00:00+00:00,160.2
2026-06-15 00:00:00+00:00,160.19
2026-06-16 00:00:00+00:00,160.38
2026-06-17 00:00:00+00:00,160.31
2026-06-18 00:00:00+00:00,160.93
2026-06-19 00:00:00+00:00,161.23
2026-06-22 00:00:00+00:00,161.78
2026-06-23 00:00:00+00:00,161.53
2026-06-24 00:00:00+00:00,161.68
2026-06-25 00:00:00+00:00,161.85
2026-06-26 00:00:00+00:00,161.65
2026-06-29 00:00:00+00:00,161.86
2026-06-30 00:00:00+00:00,162.44
